arm,task_class,task_id,first_choice,failed_choice,correct_choice,advisory_present,choice,success
control,repeat,01,route_01_beta,route_01_beta,route_01_alpha,0,route_01_beta,0
control,repeat,02,route_02_beta,route_02_alpha,route_02_beta,0,route_02_beta,1
control,repeat,03,route_03_alpha,route_03_beta,route_03_alpha,0,route_03_alpha,1
control,repeat,04,route_04_alpha,route_04_alpha,route_04_beta,0,route_04_alpha,0
control,repeat,05,route_05_beta,route_05_beta,route_05_alpha,0,route_05_beta,0
control,repeat,06,route_06_beta,route_06_alpha,route_06_beta,0,route_06_beta,1
control,repeat,07,route_07_alpha,route_07_beta,route_07_alpha,0,route_07_alpha,1
control,repeat,08,route_08_alpha,route_08_alpha,route_08_beta,0,route_08_alpha,0
control,repeat,09,route_09_beta,route_09_beta,route_09_alpha,0,route_09_beta,0
control,repeat,10,route_10_beta,route_10_alpha,route_10_beta,0,route_10_beta,1
control,repeat,11,route_11_alpha,route_11_beta,route_11_alpha,0,route_11_alpha,1
control,repeat,12,route_12_alpha,route_12_alpha,route_12_beta,0,route_12_alpha,0
control,repeat,13,route_13_beta,route_13_beta,route_13_alpha,0,route_13_beta,0
control,repeat,14,route_14_beta,route_14_alpha,route_14_beta,0,route_14_beta,1
control,repeat,15,route_15_alpha,route_15_beta,route_15_alpha,0,route_15_alpha,1
control,repeat,16,route_16_alpha,route_16_alpha,route_16_beta,0,route_16_alpha,0
control,repeat,17,route_17_beta,route_17_beta,route_17_alpha,0,route_17_beta,0
control,repeat,18,route_18_beta,route_18_alpha,route_18_beta,0,route_18_beta,1
control,repeat,19,route_19_alpha,route_19_beta,route_19_alpha,0,route_19_alpha,1
control,repeat,20,route_20_alpha,route_20_alpha,route_20_beta,0,route_20_alpha,0
control,repeat,21,route_21_beta,route_21_beta,route_21_alpha,0,route_21_beta,0
control,repeat,22,route_22_beta,route_22_alpha,route_22_beta,0,route_22_beta,1
control,repeat,23,route_23_alpha,route_23_beta,route_23_alpha,0,route_23_alpha,1
control,repeat,24,route_24_alpha,route_24_alpha,route_24_beta,0,route_24_alpha,0
control,novel,01,novel_01_alpha,novel_01_alpha,novel_01_beta,0,novel_01_alpha,0
control,novel,02,novel_02_beta,novel_02_beta,novel_02_alpha,0,novel_02_beta,0
control,novel,03,novel_03_beta,novel_03_alpha,novel_03_beta,0,novel_03_beta,1
control,novel,04,novel_04_alpha,novel_04_beta,novel_04_alpha,0,novel_04_alpha,1
control,novel,05,novel_05_alpha,novel_05_alpha,novel_05_beta,0,novel_05_alpha,0
control,novel,06,novel_06_beta,novel_06_beta,novel_06_alpha,0,novel_06_beta,0
control,novel,07,novel_07_beta,novel_07_alpha,novel_07_beta,0,novel_07_beta,1
control,novel,08,novel_08_alpha,novel_08_beta,novel_08_alpha,0,novel_08_alpha,1
control,novel,09,novel_09_alpha,novel_09_alpha,novel_09_beta,0,novel_09_alpha,0
control,novel,10,novel_10_beta,novel_10_beta,novel_10_alpha,0,novel_10_beta,0
control,novel,11,novel_11_beta,novel_11_alpha,novel_11_beta,0,novel_11_beta,1
control,novel,12,novel_12_alpha,novel_12_beta,novel_12_alpha,0,novel_12_alpha,1
control,novel,13,novel_13_alpha,novel_13_alpha,novel_13_beta,0,novel_13_alpha,0
control,novel,14,novel_14_beta,novel_14_beta,novel_14_alpha,0,novel_14_beta,0
control,novel,15,novel_15_beta,novel_15_alpha,novel_15_beta,0,novel_15_beta,1
control,novel,16,novel_16_alpha,novel_16_beta,novel_16_alpha,0,novel_16_alpha,1
control,novel,17,novel_17_alpha,novel_17_alpha,novel_17_beta,0,novel_17_alpha,0
control,novel,18,novel_18_beta,novel_18_beta,novel_18_alpha,0,novel_18_beta,0
control,novel,19,novel_19_beta,novel_19_alpha,novel_19_beta,0,novel_19_beta,1
control,novel,20,novel_20_alpha,novel_20_beta,novel_20_alpha,0,novel_20_alpha,1
control,novel,21,novel_21_alpha,novel_21_alpha,novel_21_beta,0,novel_21_alpha,0
control,novel,22,novel_22_beta,novel_22_beta,novel_22_alpha,0,novel_22_beta,0
control,novel,23,novel_23_beta,novel_23_alpha,novel_23_beta,0,novel_23_beta,1
control,novel,24,novel_24_alpha,novel_24_beta,novel_24_alpha,0,novel_24_alpha,1
treatment,repeat,01,route_01_beta,route_01_beta,route_01_alpha,1,route_01_alpha,1
treatment,repeat,02,route_02_beta,route_02_alpha,route_02_beta,1,route_02_beta,1
treatment,repeat,03,route_03_alpha,route_03_beta,route_03_alpha,1,route_03_alpha,1
treatment,repeat,04,route_04_alpha,route_04_alpha,route_04_beta,1,route_04_beta,1
treatment,repeat,05,route_05_beta,route_05_beta,route_05_alpha,1,route_05_alpha,1
treatment,repeat,06,route_06_beta,route_06_alpha,route_06_beta,1,route_06_beta,1
treatment,repeat,07,route_07_alpha,route_07_beta,route_07_alpha,1,route_07_alpha,1
treatment,repeat,08,route_08_alpha,route_08_alpha,route_08_beta,1,route_08_beta,1
treatment,repeat,09,route_09_beta,route_09_beta,route_09_alpha,1,route_09_alpha,1
treatment,repeat,10,route_10_beta,route_10_alpha,route_10_beta,1,route_10_beta,1
treatment,repeat,11,route_11_alpha,route_11_beta,route_11_alpha,1,route_11_alpha,1
